"N","bm2m1","by2y1","br","Orig Chi-p < 0.05","Adj Chi-p < 0.05","One-step Chi-p < 0.05","Orig Avg RMSEA","Adj Avg RMSEA","One-step Avg RMSEA"
50,0,0,0,0.017,0.081,0.069,0.0175231684973951,0.0585245084102526,0.0542897990371565
100,0,0,0,0.013,0.068,0.066,0.0114656941022157,0.0390953943713332,0.037146938488955
200,0,0,0,0.008,0.059,0.058,0.00680850542406921,0.0250921515076906,0.0243438413156108
500,0,0,0,0.009,0.05,0.05,0.00396900713214963,0.0154262548951264,0.0150567172220104
50,0.3,0,0,0.013,0.069,0.064,0.0158889600629043,0.056413737821798,0.052816112080501
100,0.3,0,0,0.01,0.057,0.055,0.00958417278122811,0.0353988684709981,0.03391517665066
200,0.3,0,0,0.017,0.071,0.068,0.00788754266861912,0.0277176966963254,0.0268772399757161
500,0.3,0,0,0.007,0.059,0.054,0.00428172288066265,0.0155934522372117,0.0152085417334273
50,0.7,0,0,0.019,0.069,0.057,0.0154960460295968,0.054173590532093,0.0511444420935865
100,0.7,0,0,0.008,0.045,0.045,0.0080467720479976,0.0320331529094465,0.0305936054836761
200,0.7,0,0,0.015,0.054,0.054,0.00677833189170093,0.0246139954187747,0.0238307362730223
500,0.7,0,0,0.01,0.055,0.053,0.00414730902354503,0.0144693078398528,0.0141718661390708
50,1,0,0,0.012,0.078,0.072,0.0167335763343224,0.0571065835885996,0.052737735051476
100,1,0,0,0.013,0.069,0.064,0.011258133351097,0.0374218868719785,0.0358183261464733
200,1,0,0,0.006,0.053,0.051,0.00678085311647725,0.0248065807902606,0.0240896795306989
500,1,0,0,0.009,0.049,0.049,0.00402366277988263,0.015186891072976,0.0147428162497322
50,0,0.3,0,0.006,0.072,0.067,0.014906038270485,0.0541775064327518,0.0503999858051261
100,0,0.3,0,0.012,0.062,0.058,0.0100209272181611,0.0359871797903194,0.0344546998248162
200,0,0.3,0,0.009,0.051,0.045,0.00672492017546909,0.0253611797881012,0.0245354276891752
500,0,0.3,0,0.013,0.069,0.068,0.00462233637650018,0.0155888223199568,0.0152589954195098
50,0.3,0.3,0,0.021,0.069,0.063,0.0178541459601689,0.0594830436565537,0.0563052896079588
100,0.3,0.3,0,0.009,0.066,0.063,0.0109286503587984,0.0381630634425091,0.0365803001443725
200,0.3,0.3,0,0.013,0.065,0.063,0.00714542385420454,0.024120118762124,0.023408306897507
500,0.3,0.3,0,0.01,0.053,0.05,0.0040862184658984,0.0153461083812723,0.0149100352016437
50,0.7,0.3,0,0.017,0.08,0.071,0.0167116030088201,0.0577070092948394,0.0536694418872937
100,0.7,0.3,0,0.015,0.054,0.049,0.00937739173910802,0.0351055062085126,0.0335322450918237
200,0.7,0.3,0,0.012,0.063,0.057,0.00694183814046578,0.0247653787545399,0.0240531170075641
500,0.7,0.3,0,0.008,0.055,0.054,0.00396482763020954,0.0156310272822086,0.01517655766528
50,1,0.3,0,0.019,0.079,0.074,0.0173615752882121,0.0588937924240966,0.0552429722014352
100,1,0.3,0,0.006,0.046,0.042,0.00816080272549888,0.0339497724952696,0.0320602730167896
200,1,0.3,0,0.013,0.052,0.051,0.00697963639774563,0.0242897617833907,0.0234366651926655
500,1,0.3,0,0.008,0.051,0.05,0.00396267059269507,0.0153267123694601,0.0149299793923052
50,0,0.7,0,0.029,0.081,0.074,0.01866743315142,0.0610639754088363,0.0562964258823483
100,0,0.7,0,0.014,0.053,0.052,0.00947276756186952,0.0359231971793275,0.0346035660581755
200,0,0.7,0,0.014,0.067,0.063,0.00794159970428462,0.0268618675509579,0.0260873790945713
500,0,0.7,0,0.003,0.052,0.052,0.00369897894097676,0.0138785086480918,0.0134703769679223
50,0.3,0.7,0,0.016,0.074,0.07,0.0175425599572041,0.0557534802080598,0.0526635984982896
100,0.3,0.7,0,0.015,0.076,0.073,0.0113219958447648,0.0379348970243358,0.0363158874640642
200,0.3,0.7,0,0.012,0.054,0.053,0.00695698810894443,0.0251004818669881,0.0244621638926418
500,0.3,0.7,0,0.005,0.048,0.046,0.0034789685140553,0.0141914778215602,0.0138382500722918
50,0.7,0.7,0,0.019,0.075,0.065,0.0163493183266832,0.0569112649819074,0.0528316156288793
100,0.7,0.7,0,0.013,0.057,0.055,0.00913912100394307,0.034029419811852,0.0324230472948183
200,0.7,0.7,0,0.012,0.067,0.064,0.00761153738305946,0.0258517910786658,0.0250014400349993
500,0.7,0.7,0,0.009,0.059,0.057,0.0041084840768676,0.0151449819949267,0.0147795516049729
50,1,0.7,0,0.014,0.066,0.063,0.0160822723072742,0.054262282338591,0.0506773042737193
100,1,0.7,0,0.012,0.065,0.062,0.0101650988306174,0.036490086782345,0.0349405509232139
200,1,0.7,0,0.01,0.065,0.064,0.00711869085806665,0.0266491750263641,0.0257354787440428
500,1,0.7,0,0.004,0.046,0.046,0.00372605424399944,0.0152028425291231,0.0148296185819922
50,0,1,0,0.016,0.074,0.064,0.017757160806832,0.0575223935124773,0.0539040213638172
100,0,1,0,0.013,0.058,0.058,0.00975460532272634,0.0344368637957588,0.032881243493249
200,0,1,0,0.007,0.045,0.044,0.00581065927182255,0.0223773597486117,0.0217193043496699
500,0,1,0,0.012,0.061,0.056,0.00405367107769986,0.0147385355751755,0.0143643734097679
50,0.3,1,0,0.013,0.068,0.061,0.0158531275767779,0.054796525638156,0.0515057257150175
100,0.3,1,0,0.02,0.067,0.062,0.0110470864804109,0.0377962905477552,0.0362039574412132
200,0.3,1,0,0.01,0.06,0.056,0.00706741074649393,0.0256171000845853,0.0248220878024077
500,0.3,1,0,0.014,0.054,0.052,0.00410103870767711,0.015900422610147,0.0154731135485672
50,0.7,1,0,0.016,0.072,0.067,0.0166825455019532,0.0571394685769914,0.0537188594220642
100,0.7,1,0,0.01,0.054,0.052,0.00951186617555728,0.036314864742236,0.0348701722761975
200,0.7,1,0,0.013,0.057,0.055,0.00637928646099844,0.023824094404193,0.0230248834316472
500,0.7,1,0,0.013,0.064,0.063,0.00479396136095398,0.0160352202452631,0.015669775536421
50,1,1,0,0.017,0.072,0.062,0.0165747253987455,0.0564121561747919,0.0521998381041278
100,1,1,0,0.015,0.068,0.065,0.0104063715674527,0.0377439631941624,0.0361840777955978
200,1,1,0,0.015,0.063,0.062,0.00722464959446664,0.0252113832460663,0.0244828733522014
500,1,1,0,0.004,0.046,0.042,0.00378934080024555,0.015361124181359,0.015000507274148
50,0,0,0.14,0.017,0.084,0.079,0.0171863738621436,0.055956297466546,0.0511903209946847
100,0,0,0.14,0.012,0.066,0.057,0.0114216765198942,0.0398943471175702,0.0373978510008841
200,0,0,0.14,0.008,0.053,0.05,0.00670631631587578,0.025250678415657,0.0239473406482794
500,0,0,0.14,0.014,0.071,0.064,0.00520270605633178,0.0178722638829917,0.0171209319527419
50,0.3,0,0.14,0.015,0.071,0.064,0.0163941307314717,0.0559337013099734,0.0515355136817897
100,0.3,0,0.14,0.013,0.069,0.063,0.010489324419432,0.0387267344278864,0.0363110443801492
200,0.3,0,0.14,0.007,0.052,0.05,0.00608794398387988,0.0245925108294728,0.0233447524256948
500,0.3,0,0.14,0.01,0.053,0.05,0.00429885075303761,0.0162707157727946,0.0154470108470147
50,0.7,0,0.14,0.016,0.073,0.061,0.0166091126274927,0.0577411443164693,0.0520492567467909
100,0.7,0,0.14,0.006,0.049,0.045,0.00902337657766159,0.0354524846934151,0.0331878708852684
200,0.7,0,0.14,0.012,0.057,0.053,0.00753362547970896,0.0254618133773664,0.0240809719194537
500,0.7,0,0.14,0.009,0.068,0.066,0.00462295754102487,0.0162342524606772,0.015418135889251
50,1,0,0.14,0.016,0.082,0.068,0.0177173070881824,0.060221048854668,0.0551356753856364
100,1,0,0.14,0.009,0.072,0.063,0.0108246931422661,0.0391208207957791,0.0367932390400097
200,1,0,0.14,0.012,0.07,0.063,0.007450099285759,0.0266803915162841,0.0254299625968435
500,1,0,0.14,0.008,0.061,0.055,0.00457784810535501,0.0155380860562293,0.0149109746478955
50,0,0.3,0.14,0.013,0.067,0.059,0.0161381093056461,0.0569364045950931,0.0515030456823864
100,0,0.3,0.14,0.012,0.059,0.052,0.0092044125785239,0.0346808493473658,0.0325376107343155
200,0,0.3,0.14,0.012,0.06,0.055,0.0072101423448581,0.0265888614197081,0.025072658321289
500,0,0.3,0.14,0.019,0.061,0.058,0.00430217240836429,0.0155515455153952,0.0148499472605203
50,0.3,0.3,0.14,0.018,0.085,0.076,0.0184172923082018,0.0596609940411885,0.0551375341326675
100,0.3,0.3,0.14,0.012,0.058,0.054,0.0102819312171124,0.0361443083038808,0.033922159458871
200,0.3,0.3,0.14,0.007,0.055,0.052,0.00602372819351732,0.0234971714176621,0.0222197121410522
500,0.3,0.3,0.14,0.008,0.057,0.055,0.00455126501684956,0.0165983067241313,0.0158178092229385
50,0.7,0.3,0.14,0.017,0.068,0.064,0.0166889042989845,0.0565108406913762,0.0522183335441303
100,0.7,0.3,0.14,0.014,0.061,0.056,0.0108472254003569,0.0398896451492554,0.0373823623977175
200,0.7,0.3,0.14,0.015,0.063,0.06,0.0072561183798953,0.0254134004347221,0.0242492765264245
500,0.7,0.3,0.14,0.01,0.047,0.046,0.00349764361960797,0.0142323764083661,0.0135986024139795
50,1,0.3,0.14,0.02,0.071,0.064,0.0164437475934001,0.05547948312039,0.0512203667199497
100,1,0.3,0.14,0.009,0.056,0.048,0.00910077491565155,0.0364367022927047,0.0342170532759332
200,1,0.3,0.14,0.01,0.06,0.059,0.00673682544764694,0.0250679124607793,0.0237387768722899
500,1,0.3,0.14,0.013,0.053,0.047,0.00410793383005222,0.0147192854246586,0.014004300344609
50,0,0.7,0.14,0.023,0.102,0.092,0.0208444481361215,0.0641298617616307,0.0591098285240886
100,0,0.7,0.14,0.016,0.069,0.06,0.0106593317708424,0.039275410547886,0.0369558553631741
200,0,0.7,0.14,0.01,0.051,0.049,0.0062750997563643,0.0244318181525928,0.0231760529390548
500,0,0.7,0.14,0.013,0.067,0.063,0.00462638311007336,0.0159895702675483,0.0153251207683975
50,0.3,0.7,0.14,0.01,0.069,0.064,0.0149827108209916,0.0541333175717746,0.0497819475103869
100,0.3,0.7,0.14,0.014,0.063,0.059,0.0111376141354046,0.0403572888699614,0.0378287942302966
200,0.3,0.7,0.14,0.011,0.062,0.057,0.00669037038097852,0.0253476041867498,0.0238993428180396
500,0.3,0.7,0.14,0.01,0.056,0.053,0.00414291971441431,0.0153438188407209,0.0146983623975359
50,0.7,0.7,0.14,0.011,0.073,0.069,0.0146152506169832,0.0511579428781536,0.046942716668341
100,0.7,0.7,0.14,0.01,0.049,0.046,0.00862562023955947,0.0326814405197435,0.0304337717785903
200,0.7,0.7,0.14,0.014,0.05,0.047,0.00663152975726039,0.0244769066213673,0.0232671537884834
500,0.7,0.7,0.14,0.007,0.054,0.049,0.0040695713896008,0.015597342334577,0.0147793473990719
50,1,0.7,0.14,0.015,0.075,0.064,0.0171297752506912,0.0609348854940071,0.05604895507312
100,1,0.7,0.14,0.014,0.067,0.063,0.0109755321755201,0.0385476354559103,0.0360216130871791
200,1,0.7,0.14,0.016,0.065,0.064,0.00736561248521059,0.0257744448904767,0.0245060056178663
500,1,0.7,0.14,0.016,0.073,0.07,0.00504755115621902,0.017555311215763,0.0167621146235239
50,0,1,0.14,0.016,0.068,0.06,0.0167591880820027,0.0573955306035835,0.0524089969784562
100,0,1,0.14,0.012,0.07,0.06,0.0110204871846747,0.0374472589986363,0.0352469225880895
200,0,1,0.14,0.01,0.072,0.066,0.00776301481458663,0.0254838572218165,0.0241847089271622
500,0,1,0.14,0.009,0.055,0.053,0.00416326341475017,0.0153977434945064,0.0146971899745858
50,0.3,1,0.14,0.013,0.07,0.059,0.0156482330079261,0.0538771835213292,0.0491949096610462
100,0.3,1,0.14,0.017,0.058,0.049,0.00989893602223193,0.0385635381493317,0.0362852133813276
200,0.3,1,0.14,0.011,0.066,0.059,0.00770820630105894,0.0278833839558856,0.0265484389828459
500,0.3,1,0.14,0.009,0.053,0.047,0.00399450766003191,0.0156321013155378,0.0148050479915745
50,0.7,1,0.14,0.026,0.085,0.079,0.0199479027587034,0.0626506761281443,0.0576579595824116
100,0.7,1,0.14,0.011,0.056,0.053,0.00985292535337271,0.0362387915729615,0.0341562258496196
200,0.7,1,0.14,0.018,0.059,0.055,0.00683779706241586,0.0263879160356917,0.0249987136675607
500,0.7,1,0.14,0.01,0.048,0.042,0.00377395302597144,0.0145600681308629,0.0137914705450514
50,1,1,0.14,0.017,0.081,0.071,0.0165054990635854,0.0575373248945128,0.0524803769052323
100,1,1,0.14,0.01,0.065,0.057,0.00994766922809857,0.0349878285231363,0.0327022314819756
200,1,1,0.14,0.01,0.058,0.05,0.00677769596937724,0.0239647151468614,0.0227636606468019
500,1,1,0.14,0.009,0.055,0.052,0.00417511693535225,0.0154228259836334,0.014745723142287
50,0,0,0.25,0.013,0.063,0.053,0.0159313783762266,0.0581242404682957,0.0508137902146315
100,0,0,0.25,0.021,0.095,0.081,0.0129225746454704,0.0406138653745864,0.0365803149732998
200,0,0,0.25,0.015,0.058,0.05,0.00748044585617537,0.0271969592518616,0.0248924907231381
500,0,0,0.25,0.011,0.056,0.047,0.00445897248810687,0.0165244701340006,0.0150456760427159
50,0.3,0,0.25,0.021,0.093,0.076,0.018934339494777,0.0606245406079627,0.054026942606984
100,0.3,0,0.25,0.014,0.064,0.059,0.0110951952370985,0.038343305356302,0.0344913254862575
200,0.3,0,0.25,0.012,0.055,0.048,0.00678796268151785,0.0268105382735888,0.0239991661907714
500,0.3,0,0.25,0.01,0.055,0.049,0.00408025021802912,0.0151359313421711,0.0135653793109038
50,0.7,0,0.25,0.023,0.078,0.061,0.0184118223871677,0.0617337906669906,0.0546301151093831
100,0.7,0,0.25,0.013,0.065,0.053,0.0103039992575463,0.0378872094121788,0.033894196734756
200,0.7,0,0.25,0.012,0.071,0.06,0.00833938355617763,0.0292854411286954,0.0263921511294166
500,0.7,0,0.25,0.015,0.053,0.049,0.00432055666272408,0.0164613677361089,0.0149808138676972
50,1,0,0.25,0.017,0.068,0.06,0.0163614183225491,0.0565828801271103,0.0499096496956551
100,1,0,0.25,0.015,0.07,0.059,0.0110271678307596,0.0390160716240907,0.0349587990491093
200,1,0,0.25,0.012,0.064,0.052,0.00741515999264469,0.0278222969408046,0.0251407848304643
500,1,0,0.25,0.017,0.064,0.054,0.00462167370187143,0.015898812188311,0.0145857974425142
50,0,0.3,0.25,0.026,0.089,0.076,0.0204840513200552,0.0636643790939105,0.0565990903682283
100,0,0.3,0.25,0.014,0.069,0.056,0.0112084964501574,0.0392626084365673,0.0349176271999487
200,0,0.3,0.25,0.011,0.064,0.054,0.00756054510472756,0.0272029006934476,0.0245838513107146
500,0,0.3,0.25,0.012,0.08,0.072,0.00547699751461963,0.018323362105407,0.0167370839575811
50,0.3,0.3,0.25,0.025,0.091,0.073,0.0206848177912585,0.0657338788471432,0.0583387088503006
100,0.3,0.3,0.25,0.01,0.062,0.048,0.0104264307917075,0.0377236773153408,0.0337097645623291
200,0.3,0.3,0.25,0.018,0.076,0.064,0.00847640760292109,0.0282115610508723,0.0256777660990649
500,0.3,0.3,0.25,0.014,0.059,0.05,0.00455827018831512,0.0159671056407046,0.0145984212812722
50,0.7,0.3,0.25,0.019,0.084,0.067,0.0191649240343566,0.0610940374723718,0.0539250775536179
100,0.7,0.3,0.25,0.015,0.079,0.067,0.0122206557990931,0.0408079714058774,0.0365112481063996
200,0.7,0.3,0.25,0.013,0.064,0.053,0.00736061680085247,0.0261445137260248,0.0235381957037169
500,0.7,0.3,0.25,0.005,0.05,0.045,0.00404415865004345,0.0157355563163459,0.0141378975148752
50,1,0.3,0.25,0.022,0.095,0.076,0.019823748260356,0.0638826492985033,0.0561659335794776
100,1,0.3,0.25,0.016,0.066,0.055,0.0109696288326226,0.0389907305760361,0.0350920829007208
200,1,0.3,0.25,0.01,0.074,0.063,0.00737411456472549,0.0261524165510296,0.0236009380539708
500,1,0.3,0.25,0.014,0.055,0.05,0.00448771804365652,0.0160838699668211,0.014512947543669
50,0,0.7,0.25,0.012,0.062,0.045,0.0157305597138824,0.0557866216124891,0.048810405437169
100,0,0.7,0.25,0.016,0.069,0.056,0.0127057341139109,0.0421402649455298,0.0381105011023592
200,0,0.7,0.25,0.016,0.059,0.048,0.00699775672575755,0.0266585801224599,0.0242409297289078
500,0,0.7,0.25,0.011,0.055,0.04,0.00400117862328403,0.0151854642319314,0.0137793214943806
50,0.3,0.7,0.25,0.013,0.071,0.059,0.0169464951184644,0.0584056018960285,0.051661114790131
100,0.3,0.7,0.25,0.009,0.056,0.049,0.00967678916593236,0.0356331312310376,0.0319833116901352
200,0.3,0.7,0.25,0.015,0.054,0.049,0.00729872591955957,0.0257857450513488,0.0233846770151218
500,0.3,0.7,0.25,0.011,0.065,0.05,0.00448813466196986,0.0153841207367513,0.0140404649422776
50,0.7,0.7,0.25,0.017,0.084,0.07,0.0195229755604991,0.0615702567797401,0.0542829533921092
100,0.7,0.7,0.25,0.017,0.073,0.064,0.0113802363902321,0.0395760291373107,0.0351397604121737
200,0.7,0.7,0.25,0.016,0.063,0.052,0.00713076348302378,0.0263093918111024,0.0237625268277503
500,0.7,0.7,0.25,0.012,0.059,0.049,0.0044936850139322,0.0162906209677759,0.0146952213720343
50,1,0.7,0.25,0.022,0.09,0.077,0.0201650319545995,0.0661478007238046,0.0583031063089067
100,1,0.7,0.25,0.019,0.073,0.061,0.0115423820234561,0.0383763907825305,0.0347671101794081
200,1,0.7,0.25,0.007,0.061,0.053,0.00711497912872751,0.0258165785053927,0.0230844164523403
500,1,0.7,0.25,0.009,0.055,0.047,0.00422594636282363,0.0157243730833941,0.0143008010430657
50,0,1,0.25,0.017,0.069,0.053,0.0163140962639247,0.0577196011994173,0.0507777942056625
100,0,1,0.25,0.015,0.067,0.053,0.010625019677421,0.0367060227608784,0.0330518926220681
200,0,1,0.25,0.012,0.059,0.051,0.00684112461364875,0.0252011701250391,0.0228256973448534
500,0,1,0.25,0.01,0.057,0.043,0.00409157458890769,0.0156632187741511,0.014305644158346
50,0.3,1,0.25,0.016,0.082,0.072,0.0178351267641942,0.0580635722644115,0.051725060680879
100,0.3,1,0.25,0.014,0.066,0.051,0.010552899113721,0.0379663298045944,0.0333455203007135
200,0.3,1,0.25,0.011,0.055,0.042,0.0072416372921274,0.0263556092611738,0.0238938130855927
500,0.3,1,0.25,0.015,0.06,0.048,0.00476178840315315,0.0168084914423845,0.0152645101291727
50,0.7,1,0.25,0.016,0.079,0.064,0.0186658383769421,0.0641204231028803,0.0563064550452715
100,0.7,1,0.25,0.016,0.075,0.064,0.0111028737166545,0.039918741344828,0.0354803672485444
200,0.7,1,0.25,0.012,0.066,0.061,0.00740884148126664,0.0266532480760316,0.024217300084305
500,0.7,1,0.25,0.007,0.065,0.056,0.00442359622484369,0.0161620993482992,0.0147766462108201
50,1,1,0.25,0.018,0.073,0.059,0.0174160903178331,0.060799686165,0.0527264191022687
100,1,1,0.25,0.014,0.06,0.049,0.00997076233758581,0.0375447454779348,0.0339483744985301
200,1,1,0.25,0.013,0.059,0.051,0.00753411680413427,0.0272895005864039,0.0246985690869434
500,1,1,0.25,0.014,0.052,0.038,0.00434396993307301,0.0162847578383841,0.0149028591202288
