"N","bm2m1","by2y1","br","Orig Chi-p < 0.05","Adj Chi-p < 0.05","One-step Chi-p < 0.05","Orig Avg RMSEA","Adj Avg RMSEA","One-step Avg RMSEA"
50,0,0,0.39,0.022,0.098,0.071,0.0214749172788248,0.0674323309185052,0.0544884037275437
100,0,0,0.39,0.023,0.09,0.061,0.0138513559107897,0.0433149141834525,0.0362106807331153
200,0,0,0.39,0.015,0.076,0.059,0.00801926073050895,0.0271785692292774,0.0225946753489807
500,0,0,0.39,0.013,0.062,0.036,0.0044867679127362,0.0164738319147372,0.0136417799554884
50,0.3,0,0.39,0.023,0.084,0.053,0.0181842573035689,0.0613277503451091,0.0490354930901586
100,0.3,0,0.39,0.027,0.086,0.064,0.0134739024885175,0.0446164729576349,0.0370910426834666
200,0.3,0,0.39,0.012,0.077,0.049,0.00820652433705396,0.0275243175235906,0.0225318265988023
500,0.3,0,0.39,0.014,0.08,0.055,0.00538252814421122,0.0178861388845008,0.0148841830481819
50,0.7,0,0.39,0.027,0.097,0.078,0.0213597089025286,0.0661549193702222,0.0553314195475673
100,0.7,0,0.39,0.02,0.085,0.069,0.0131884282438431,0.0433055929590367,0.0356651193843357
200,0.7,0,0.39,0.025,0.084,0.062,0.00926705690875874,0.0304006340885639,0.0254270662266388
500,0.7,0,0.39,0.015,0.075,0.047,0.00541330314908159,0.0179020466918246,0.0148359342937955
50,1,0,0.39,0.019,0.089,0.067,0.0193451215027194,0.0621721808547515,0.0501981483730297
100,1,0,0.39,0.019,0.067,0.042,0.0112211583244937,0.040077438865112,0.0324489296669373
200,1,0,0.39,0.012,0.078,0.054,0.00822175514166427,0.0286339213149843,0.0237433648466706
500,1,0,0.39,0.02,0.066,0.054,0.00495627276593646,0.0171376470494109,0.0142646269663766
50,0,0.3,0.39,0.014,0.074,0.053,0.0186596263130866,0.0626714628628229,0.0513618768190712
100,0,0.3,0.39,0.018,0.063,0.046,0.0113798213301328,0.0418219872351504,0.0340351012166891
200,0,0.3,0.39,0.009,0.075,0.055,0.0083199632547936,0.0288904016983629,0.0239294607152459
500,0,0.3,0.39,0.011,0.07,0.052,0.00494695488948461,0.0173234010184419,0.0142826516741917
50,0.3,0.3,0.39,0.023,0.072,0.056,0.0176129459090093,0.0603399343848518,0.0495313219491431
100,0.3,0.3,0.39,0.014,0.068,0.045,0.0114721483225123,0.040000177955119,0.0327276121778119
200,0.3,0.3,0.39,0.013,0.066,0.051,0.00800976133528399,0.0279854279613946,0.0230617668551306
500,0.3,0.3,0.39,0.016,0.084,0.063,0.00569201348233891,0.018354565156776,0.0152192484886748
50,0.7,0.3,0.39,0.016,0.091,0.055,0.0203032223943926,0.065635849703987,0.0531708790508635
100,0.7,0.3,0.39,0.025,0.096,0.07,0.0149813456863108,0.0448240464248403,0.0375864687451444
200,0.7,0.3,0.39,0.02,0.079,0.058,0.00918502081568434,0.0311959007716161,0.026242294599485
500,0.7,0.3,0.39,0.013,0.073,0.048,0.00533073505073025,0.0181634660428784,0.015132497234274
50,1,0.3,0.39,0.031,0.105,0.079,0.0218343087139419,0.0653524990057158,0.0540264592667697
100,1,0.3,0.39,0.026,0.094,0.065,0.0145828675591461,0.0468341120927843,0.0392119465593482
200,1,0.3,0.39,0.017,0.068,0.051,0.0082306018369779,0.0294056692169786,0.0240966747425255
500,1,0.3,0.39,0.015,0.064,0.049,0.00502786822760783,0.0179419235083791,0.0151340287574456
50,0,0.7,0.39,0.026,0.105,0.073,0.0213908650227831,0.0653995503871511,0.0532316872022152
100,0,0.7,0.39,0.016,0.07,0.051,0.0120579648609338,0.0409359126488561,0.0333269054180815
200,0,0.7,0.39,0.016,0.066,0.046,0.00802453868255107,0.0287841232395608,0.0236243796197348
500,0,0.7,0.39,0.019,0.069,0.052,0.00547414576469243,0.0193976111657627,0.0161853050977605
50,0.3,0.7,0.39,0.02,0.103,0.073,0.0216031584219155,0.0672053333063812,0.0552331843112009
100,0.3,0.7,0.39,0.013,0.079,0.052,0.0126471966748545,0.0417062715883756,0.0341363566152131
200,0.3,0.7,0.39,0.019,0.077,0.061,0.00885540736913329,0.0292063570730792,0.0243399262214754
500,0.3,0.7,0.39,0.017,0.071,0.046,0.00511509857052739,0.0175234983044133,0.0146323666590577
50,0.7,0.7,0.39,0.025,0.085,0.06,0.0206459487305447,0.0674797804288597,0.05429928289222
100,0.7,0.7,0.39,0.017,0.068,0.047,0.0110137399017915,0.0378053211873492,0.0307438492183103
200,0.7,0.7,0.39,0.015,0.08,0.054,0.00892164313020093,0.0294541448374658,0.0245513540063208
500,0.7,0.7,0.39,0.022,0.086,0.066,0.00597430132566834,0.018688575834175,0.0155751782731659
50,1,0.7,0.39,0.017,0.084,0.056,0.0177334212239437,0.0601877523404694,0.0481755247226051
100,1,0.7,0.39,0.019,0.086,0.064,0.0132946474863981,0.0445792454041623,0.0364404623161514
200,1,0.7,0.39,0.013,0.062,0.046,0.00762135086765523,0.0275697817146065,0.0228797884552667
500,1,0.7,0.39,0.018,0.086,0.061,0.00564982474479319,0.0191014914694266,0.0159283184590806
50,0,1,0.39,0.021,0.086,0.064,0.0192532768715326,0.0623395658549756,0.0495686942152887
100,0,1,0.39,0.023,0.082,0.064,0.0131695973149037,0.0424569058864679,0.0351985347423526
200,0,1,0.39,0.019,0.08,0.056,0.00904948271451794,0.0285288181783635,0.0237658177831652
500,0,1,0.39,0.018,0.07,0.051,0.00488997287945828,0.016688498899104,0.0139367787636215
50,0.3,1,0.39,0.018,0.091,0.054,0.0184171402771997,0.0623972961448283,0.050190716024308
100,0.3,1,0.39,0.01,0.073,0.055,0.0107396266357789,0.0374622889107054,0.030595656098337
200,0.3,1,0.39,0.016,0.088,0.064,0.00952315381945893,0.0300463924798385,0.0250317869558641
500,0.3,1,0.39,0.01,0.06,0.041,0.0044283135634604,0.0172663164967424,0.0142540447866801
50,0.7,1,0.39,0.023,0.092,0.074,0.0209327866063426,0.0651901662877098,0.0531636306017319
100,0.7,1,0.39,0.02,0.094,0.058,0.0139817859617246,0.0435126602382531,0.0357830989349446
200,0.7,1,0.39,0.015,0.075,0.053,0.00910391757358844,0.0300013337562367,0.0248941601702114
500,0.7,1,0.39,0.013,0.074,0.053,0.0051956721660095,0.0176110954806325,0.0145002950346899
50,1,1,0.39,0.029,0.102,0.076,0.0209410022059553,0.0648205357045452,0.0529380297152714
100,1,1,0.39,0.018,0.084,0.056,0.0128729116954946,0.0412790131743999,0.0341411613104001
200,1,1,0.39,0.02,0.075,0.053,0.00875241323465124,0.0289078734684818,0.0235180290491227
500,1,1,0.39,0.014,0.069,0.056,0.00494836827006055,0.0173684730906685,0.0144644745588856
50,0,0,0.59,0.025,0.114,0.059,0.0246879845517499,0.072224224461288,0.0513907196168068
100,0,0,0.59,0.024,0.101,0.057,0.0155948780167158,0.0491068748002439,0.0348845330506165
200,0,0,0.59,0.033,0.107,0.057,0.0116843765334543,0.0361483808994832,0.0255828084177195
500,0,0,0.59,0.023,0.09,0.045,0.0064571232674598,0.0202173722694434,0.0141846383032474
50,0.3,0,0.59,0.038,0.119,0.058,0.026092592698713,0.0772665002962739,0.0541346883733685
100,0.3,0,0.59,0.038,0.12,0.069,0.0179220651992031,0.0536486398191228,0.0380199530777913
200,0.3,0,0.59,0.024,0.106,0.063,0.0115736884417687,0.0346640472254669,0.024660997413161
500,0.3,0,0.59,0.028,0.087,0.049,0.00593853654537254,0.0194593639406749,0.0134278431985902
50,0.7,0,0.59,0.029,0.122,0.062,0.0251895921340823,0.0740237000273992,0.0527445111751696
100,0.7,0,0.59,0.033,0.117,0.069,0.0179315733719138,0.0518727059290246,0.037590167329827
200,0.7,0,0.59,0.022,0.085,0.04,0.00974163716092998,0.0316679287661317,0.0220899403219784
500,0.7,0,0.59,0.018,0.084,0.041,0.00631600172387013,0.0202519083392323,0.0143779595420104
50,1,0,0.59,0.033,0.109,0.057,0.024866493782217,0.0747746309681866,0.0520116206228059
100,1,0,0.59,0.023,0.111,0.054,0.0165589884658622,0.0502412560931815,0.036245846006199
200,1,0,0.59,0.032,0.105,0.059,0.0115673301228574,0.0347962479244155,0.0243645337338528
500,1,0,0.59,0.021,0.088,0.043,0.00621195519472639,0.0201912937700361,0.0140787554832785
50,0,0.3,0.59,0.042,0.116,0.064,0.0257244271293301,0.0741657893576592,0.0522259879118703
100,0,0.3,0.59,0.028,0.128,0.055,0.0182480165205517,0.0532758671905591,0.0379930948868115
200,0,0.3,0.59,0.029,0.111,0.054,0.0117549374141172,0.034685319545429,0.0245887790969873
500,0,0.3,0.59,0.018,0.073,0.041,0.00557404178355787,0.019507083404221,0.0134043069794406
50,0.3,0.3,0.59,0.037,0.133,0.078,0.0283142046101827,0.0802290747348686,0.0569216478588375
100,0.3,0.3,0.59,0.032,0.104,0.048,0.0158500081185284,0.0501777858279292,0.0348207876824797
200,0.3,0.3,0.59,0.036,0.108,0.067,0.0114573764883203,0.0341614007379118,0.0241112318380793
500,0.3,0.3,0.59,0.029,0.101,0.057,0.00701609332913846,0.0214864573525833,0.0151425290901893
50,0.7,0.3,0.59,0.035,0.136,0.073,0.0275430344510853,0.0770799570972508,0.0551611399045348
100,0.7,0.3,0.59,0.018,0.113,0.043,0.0165185427909388,0.0503266860120952,0.0357756804917516
200,0.7,0.3,0.59,0.026,0.102,0.056,0.011872468130776,0.0353307260325227,0.0258001093607611
500,0.7,0.3,0.59,0.021,0.097,0.047,0.00659651781131447,0.0215319653355315,0.0148888072713472
50,1,0.3,0.59,0.036,0.134,0.075,0.027039176325362,0.0751167897131038,0.0531171479540822
100,1,0.3,0.59,0.03,0.119,0.063,0.0186323090481063,0.0546779825518594,0.0397745003140137
200,1,0.3,0.59,0.023,0.092,0.052,0.0105968728655942,0.0329997550667811,0.0233322299927809
500,1,0.3,0.59,0.023,0.092,0.055,0.00667171300666777,0.0205214830415213,0.0145441598019156
50,0,0.7,0.59,0.041,0.125,0.065,0.0270860541693797,0.0778178946287942,0.0544893112412266
100,0,0.7,0.59,0.032,0.116,0.059,0.0175423151779035,0.051410187288746,0.0361025579019627
200,0,0.7,0.59,0.04,0.107,0.062,0.0115813793556236,0.0338223305689528,0.0241951940598842
500,0,0.7,0.59,0.013,0.088,0.039,0.0060032563667514,0.0197354714813795,0.0137724359993893
50,0.3,0.7,0.59,0.038,0.108,0.063,0.025008411681937,0.0733406118228882,0.0511705525310821
100,0.3,0.7,0.59,0.028,0.103,0.054,0.0161983968266658,0.0488510647897682,0.0336384386510506
200,0.3,0.7,0.59,0.017,0.087,0.048,0.0100400330409948,0.0318426448545732,0.0220836033950301
500,0.3,0.7,0.59,0.023,0.093,0.043,0.00649432851286503,0.0212083820519311,0.014901470779443
50,0.7,0.7,0.59,0.034,0.136,0.061,0.0284454276868895,0.0799306409530396,0.0558375377871299
100,0.7,0.7,0.59,0.031,0.108,0.055,0.0165027695528208,0.0490095259850781,0.0347644432924377
200,0.7,0.7,0.59,0.034,0.11,0.062,0.011203159520702,0.032845519649003,0.0234881297951661
500,0.7,0.7,0.59,0.024,0.099,0.056,0.00700098536834634,0.0219264361465747,0.0153975928706519
50,1,0.7,0.59,0.034,0.132,0.066,0.0259968317530928,0.0759954705014793,0.0540163025990867
100,1,0.7,0.59,0.031,0.117,0.064,0.0178376721035435,0.0521169819640597,0.0370318669394
200,1,0.7,0.59,0.027,0.119,0.057,0.0117325049804076,0.0349972648551784,0.0251592335702634
500,1,0.7,0.59,0.025,0.099,0.056,0.00654336106375167,0.0208020287845184,0.0147475386612586
50,0,1,0.59,0.027,0.111,0.053,0.022645952354625,0.0709231556436952,0.0485556559868424
100,0,1,0.59,0.027,0.106,0.054,0.0165248537872606,0.0506949602813694,0.0359263929373653
200,0,1,0.59,0.03,0.092,0.058,0.0100623456863909,0.0321980644430582,0.0220570255277607
500,0,1,0.59,0.029,0.094,0.053,0.00689866984571931,0.0214432971321165,0.0152242994703862
50,0.3,1,0.59,0.031,0.128,0.064,0.0259623884329112,0.0770240145553254,0.052169581772976
100,0.3,1,0.59,0.029,0.11,0.06,0.0170336995610608,0.0501748206585834,0.0356059767896893
200,0.3,1,0.59,0.022,0.101,0.047,0.0113954259766008,0.0348874397835701,0.0248613407233017
500,0.3,1,0.59,0.027,0.1,0.053,0.00684116372747045,0.0210184286652793,0.0148066779189443
50,0.7,1,0.59,0.024,0.127,0.055,0.0253366350416039,0.0712673500853752,0.0505106249329094
100,0.7,1,0.59,0.032,0.118,0.057,0.0183119809503456,0.0529015588212686,0.0379255320653774
200,0.7,1,0.59,0.034,0.113,0.059,0.011948608140969,0.0343054473659064,0.0246184206788499
500,0.7,1,0.59,0.026,0.105,0.053,0.00721694619922862,0.0213635685666181,0.0153124413316936
50,1,1,0.59,0.03,0.126,0.069,0.0261906696752435,0.0723335092019289,0.0520236749171208
100,1,1,0.59,0.031,0.111,0.062,0.0163707665304226,0.049826563817348,0.0354574096518445
200,1,1,0.59,0.029,0.112,0.06,0.0111078099677318,0.035077464884903,0.0245581085740647
500,1,1,0.59,0.018,0.111,0.054,0.00724005852078557,0.0218551027643138,0.0155665229691893
50,0,0,0.79,0.068,0.171,0.07,0.0361076258576658,0.0943572770379542,0.056028981746172
100,0,0,0.79,0.051,0.157,0.064,0.0229078201438744,0.0612065885709995,0.0359620845405379
200,0,0,0.79,0.043,0.136,0.047,0.0152325597537503,0.041758643281455,0.0245809657972226
500,0,0,0.79,0.048,0.15,0.059,0.00915808838166593,0.0246136079814956,0.014624311793275
50,0.3,0,0.79,0.053,0.164,0.079,0.0342752287774882,0.0883632309920426,0.0542676273304864
100,0.3,0,0.79,0.045,0.154,0.058,0.0219235754316762,0.060730496473358,0.0357293259695602
200,0.3,0,0.79,0.047,0.134,0.059,0.0138451107099227,0.0387071663401655,0.0224514124132062
500,0.3,0,0.79,0.038,0.136,0.05,0.00896986715744522,0.0252387092726389,0.0148653016913662
50,0.7,0,0.79,0.057,0.156,0.071,0.0335884127297459,0.0874416293557559,0.0532961526879066
100,0.7,0,0.79,0.043,0.142,0.043,0.0212797890141139,0.0571398082024126,0.0329078129549157
200,0.7,0,0.79,0.052,0.162,0.056,0.0160153971906068,0.0414913498473601,0.0249049604234377
500,0.7,0,0.79,0.049,0.142,0.06,0.00935867121692135,0.0253330499309479,0.0151426870677613
50,1,0,0.79,0.065,0.17,0.075,0.0347592020652737,0.0887181617448656,0.0529956914419019
100,1,0,0.79,0.047,0.129,0.055,0.0205059848181556,0.0564161607106682,0.0337970738424379
200,1,0,0.79,0.035,0.128,0.044,0.0145626932602895,0.0405807981913199,0.0244622461820903
500,1,0,0.79,0.044,0.155,0.062,0.0096348560105517,0.025275001077922,0.015023613139225
50,0,0.3,0.79,0.047,0.148,0.061,0.0313755248773428,0.0864078001467863,0.0502191649642109
100,0,0.3,0.79,0.051,0.16,0.064,0.0227139919717826,0.0606742958380435,0.0361027870998451
200,0,0.3,0.79,0.045,0.144,0.051,0.0151204671174694,0.0415859312572692,0.0242737867071469
500,0,0.3,0.79,0.052,0.144,0.06,0.0094530653901421,0.0252835189708845,0.0150294664251164
50,0.3,0.3,0.79,0.053,0.146,0.062,0.0305713239496003,0.0830915553447048,0.0489473832118072
100,0.3,0.3,0.79,0.037,0.111,0.047,0.017627198505706,0.0524764109455711,0.0300628631893031
200,0.3,0.3,0.79,0.046,0.141,0.054,0.0151989768439674,0.0414226313268663,0.0243329640781715
500,0.3,0.3,0.79,0.046,0.141,0.054,0.00926682998014357,0.0240928731995218,0.0142936994870172
50,0.7,0.3,0.79,0.058,0.155,0.072,0.033114754202216,0.088087210037204,0.0529492322008336
100,0.7,0.3,0.79,0.041,0.139,0.05,0.0215822160793927,0.0586638315660863,0.0348136019185809
200,0.7,0.3,0.79,0.038,0.145,0.049,0.0149763494425381,0.0406519681428,0.0241805332721573
500,0.7,0.3,0.79,0.047,0.143,0.058,0.00954131192674347,0.0254395513788743,0.0151863138701241
50,1,0.3,0.79,0.052,0.162,0.066,0.0337461153321549,0.0877748355210342,0.051917571568843
100,1,0.3,0.79,0.038,0.135,0.052,0.0199682974824894,0.0562099713235203,0.0325384634529794
200,1,0.3,0.79,0.041,0.125,0.054,0.0138066944707579,0.0387508855976,0.022517086864272
500,1,0.3,0.79,0.041,0.149,0.052,0.0092296853726375,0.0256487937527425,0.0150303237873116
50,0,0.7,0.79,0.051,0.157,0.052,0.0325366411346352,0.0892974943377998,0.0520381832344008
100,0,0.7,0.79,0.042,0.129,0.046,0.0197152272183731,0.058283578516595,0.0329026163250414
200,0,0.7,0.79,0.04,0.121,0.046,0.0137378527769251,0.0390728433481573,0.0228428877873541
500,0,0.7,0.79,0.035,0.135,0.041,0.00892369477663361,0.0254760607183111,0.0147035742920057
50,0.3,0.7,0.79,0.049,0.166,0.069,0.0336416240021218,0.0904601906591416,0.0535007225640981
100,0.3,0.7,0.79,0.04,0.153,0.049,0.0221724514237499,0.0607167554658242,0.0363232810808604
200,0.3,0.7,0.79,0.036,0.129,0.047,0.0143943867104841,0.0402819192100176,0.0241240185656555
500,0.3,0.7,0.79,0.038,0.121,0.052,0.00824322570795648,0.0230961723826826,0.0134869071080942
50,0.7,0.7,0.79,0.048,0.163,0.062,0.0324401462981246,0.0884673956685974,0.0518286414991522
100,0.7,0.7,0.79,0.041,0.141,0.042,0.0210443683742773,0.0575875265842185,0.0334463142633811
200,0.7,0.7,0.79,0.046,0.143,0.058,0.0151977608060861,0.0401021020927127,0.0241460638419563
500,0.7,0.7,0.79,0.04,0.127,0.047,0.00861074136598393,0.0241833421457259,0.0141214395890533
50,1,0.7,0.79,0.057,0.173,0.068,0.0345098173429286,0.0872212686900213,0.0527636019407654
100,1,0.7,0.79,0.052,0.137,0.064,0.0211030170551808,0.0592865657766808,0.0342377119360533
200,1,0.7,0.79,0.047,0.159,0.054,0.0155008858590802,0.0417162832051579,0.0244883166261349
500,1,0.7,0.79,0.034,0.134,0.047,0.00918607105480889,0.0255487519195585,0.0150228708152131
50,0,1,0.79,0.052,0.16,0.061,0.0325048630464182,0.087472816439162,0.0527342507038367
100,0,1,0.79,0.042,0.158,0.065,0.021688141729413,0.0594850158862767,0.0354311687685456
200,0,1,0.79,0.041,0.12,0.044,0.0136100107290461,0.0379147077535793,0.02249858470942
500,0,1,0.79,0.043,0.15,0.05,0.00956051313563257,0.0265730692480841,0.015447984806277
50,0.3,1,0.79,0.062,0.167,0.07,0.035113790274299,0.0896133959825538,0.0544013426547558
100,0.3,1,0.79,0.046,0.153,0.063,0.0217396349084282,0.0589057155679036,0.0360935287463379
200,0.3,1,0.79,0.037,0.135,0.05,0.0138892270704744,0.0389450040369638,0.0230639661443352
500,0.3,1,0.79,0.031,0.135,0.044,0.00875101996927581,0.0245607199799561,0.014298304057953
50,0.7,1,0.79,0.054,0.168,0.054,0.0329386126108634,0.0845487670044863,0.0505706659559679
100,0.7,1,0.79,0.05,0.149,0.054,0.023057537150302,0.0607313183844023,0.0362757053345494
200,0.7,1,0.79,0.041,0.157,0.051,0.0158502756141721,0.0417723974715122,0.0246520764150336
500,0.7,1,0.79,0.047,0.134,0.054,0.00908168820419872,0.0258554393217619,0.0149177408800882
50,1,1,0.79,0.064,0.156,0.073,0.0334067543815469,0.0867162620037815,0.0524097400889991
100,1,1,0.79,0.043,0.146,0.05,0.0213114772797546,0.0575483629368415,0.0336254103096709
200,1,1,0.79,0.051,0.14,0.06,0.0156857070075007,0.0416680063630596,0.0244844600540002
500,1,1,0.79,0.042,0.14,0.051,0.00906363259975775,0.0255287368311854,0.014917548091711
